# status,# Bibi pulled all files from your repo. No need to edit this column.,"# directions: First, read through existing descriptions and edit for accuracy. Then, fill out this column with a description of each file. Include information about what the file contains and why it's relevant to your data package workflow. Use full sentences (capital first letter and period at end). Try to avoid using commas (use semi colors or reword if possible). Spell out all abbreviations and acryonmns (e.g., ""Fourier-transform ion cyclotron resonance (FTICR)"" not ""FTICR"").",# Bibi filled out based on ESS-DIVE standards. No need to edit this column.,"# directions: Write start date in YYYY-MM-DD format. If not applicable, write ""-9999""","# directions: Write end date in YYYY-MM-DD format. If not applicable, write ""-9999""","# directions: For each file… 
If the file is NOT a csv or tsv, write “N/A”; 
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0002.csv,"[bibi note for VGC: fill in the info for ""Peak.2.Peak_RC2_0001.csv"". No need to fill in the rest. Write what the 4 digits represent]",,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0003.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0004.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0005.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0006.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0007.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0008.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0009.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0010.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0011.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0012.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0013.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0014.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0015.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0016.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0017.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0018.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0019.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0020.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0021.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0022.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0023.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0024.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0025.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0026.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0027.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0028.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0029.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0030.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0031.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0032.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0033.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0034.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0035.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0036.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0037.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0038.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0039.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0040.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0041.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0042.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0043.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0044.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0045.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0046.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0048.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0049.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0050.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0051.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0052.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0053.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0054.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0055.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0056.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0057.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0058.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0059.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0060.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0061.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0062.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0063.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0064.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0065.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0066.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0067.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0068.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0069.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0070.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0071.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0072.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0073.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0074.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0075.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
DO NOT FILL OUT; Bibi will delete after checks,Peak.2.Peak_RC2_0076.csv,,,,,,/rcsfa-RC4-WROL-YRB_DOM_Diversity/output/Transformation_Analysis_Outputs/Archive/Transformation_Peak_Comparisons/WROL_RC2
