site,comid,id,fdate,gnis_id,gnis_name,streamorde,areasqkm,slope,DamDensWs,ElevWs,HydrlCondWs,PctImp2019Ws,KffactWs,PctOw2019Ws,PctUrbHi2019Ws,PctDecid2019Ws,PctConif2019Ws,PctMxFst2019Ws,PctCrop2019Ws,PctWdWet2019Ws,PctHbWet2019Ws,RdDensWs,RunoffWs,ClayWs,SandWs,OmWs,PermWs,PopDen2010Ws,CatAreaSqKm,WsAreaSqKm,WWTPAllDensWs,TmeanSite,PrecipSite
EAS-ALM,1333418,nhdflowline_network.2041636,6/22/1999 21:00,188856,East River,4,3.1644,0.00856535,0.0027,3130.6144,6.1895,0.53,0.274,0.11,0.04,16.16,29.29,2.51,0,4.03,2.41,0.8773,315.8472,19.2246,41.1091,0.6732,10.7381,5.7807,3.1644,749.4102,0.008,9.154899597,1315.511963
EAS-BRA,1332190,nhdflowline_network.2041582,6/27/1999 21:00, , ,1,1.2834,0.12940246,0,3507.1022,0.0837,0.21,0.332,0,0.17,1.01,32.82,0.11,0,3.45,0.15,0.2268,316,14.4093,48.0104,1.0422,17.5305,1.381,1.2834,4.9086,0,10.55499935,1217.664917
EAS-PUM,1332754,nhdflowline_network.2041250,6/22/1999 21:00,188856,East River,2,17.0991,0.01346106,0,3334.9476,0.1756,0.17,0.3273,0.13,0.02,10.28,22.89,1.01,0,5.54,1.96,0.5298,315.6672,16.5671,41.0658,1.1464,11.6398,3.3736,17.0991,86.7375,0,10.92999935,187.6060028
EAS-ROC,1332198,nhdflowline_network.2041590,6/27/1999 21:00, , ,1,4.6413,0.1523744,0,3357.6118,0.2121,0.02,0.3097,0,0,2.02,54.74,0.41,0,3.28,0.68,0.0959,315.9447,16.2159,38.9884,0.9877,8.4942,1.3785,4.6413,4.6413,0,10.43489933,215.8649902
EAS-RUS,1332186,nhdflowline_network.2041583,6/27/1999 21:00, , ,1,1.4229,0.10428272,0,3482.692,0.1261,0.09,0.3295,0.02,0,1.5,18.78,0.01,0,7.17,3.83,0.2708,314.9564,15.9411,43.6772,1.1393,13.844,1.4068,1.4229,15.0255,0,8.125,361.6819763
GUN-GRJ,3232569,nhdflowline_network.2043984,5/30/2007 21:00,201748,Gunnison River,6,0.7191,1.00E-05,0.0118,2668.0676,9.6797,0.48,0.2939,0.42,0.05,18.3,33.21,1.71,3.04,1.39,0.73,0.7417,211.5858,25.0285,33.9764,0.6725,6.1879,4.5297,0.7191,20481.6555,0.0032,7.459899902,463.8739929
GUN-GUN,3252665,nhdflowline_network.2041868,6/22/1999 21:00,201748,Gunnison River,5,0.2655,0.00847858,0.0019,3105.8026,6.8951,0.39,0.2613,0.37,0.04,11.02,40.63,2,0,3.25,1.84,0.7292,313.3414,18.3092,45.1552,0.6992,12.0283,3.6318,0.2655,2645.9361,0.0038,7.069900036,492.0820007
GUN-R32,3252693,nhdflowline_network.2042692,6/22/1999 21:00,201748,Gunnison River,6,0.1422,0.00650197,0.0022,3026.719,4.0641,0.35,0.2859,0.21,0.03,8.87,40.02,1.85,0,2.46,1.56,0.7432,181.9366,19.1085,42.4693,0.7608,10.3934,2.5793,0.1422,5509.3851,0.0027,6.699899673,679.723999
GUN-TUN,3252173,nhdflowline_network.2041697,6/27/1999 21:00,201748,Gunnison River,6,0.1593,1.00E-05,0.0032,3008.8585,2.9267,0.29,0.3031,0.52,0.02,11.89,38.32,2,0,1.85,1.16,0.7036,241.8058,21.4569,38.9575,0.7453,8.7931,1.573,0.1593,10283.8923,0.002,6.719899654,749.8809814
LDS-LAP,23706200,nhdflowline_network.2488014,2/27/2001 21:00,1145148,Little Deschutes River,4,9.8055,0.00043281,0.0011,1499.2649,0.1782,0.76,0.1172,1.03,0.02,0.01,65.7,0.04,0.01,2.04,0.81,2.6037,462.3258,6.2179,68.3502,1.2804,28.5628,2.3928,9.8055,1862.1909,0,6.564899921,798.6779785
LOO-BLU,23773411,nhdflowline_network.2503063,2/12/2001 21:00,1123461,Lookout Creek,3,7.1451,0.02049159,0,979.7036,0.2258,0.12,0.2396,0,0,0.07,98.31,0.1,0,0,0,1.3888,1285,19.1746,31.4446,3.0279,6.5657,0.5299,7.1451,63.5697,0,7.259899616,462.0780029
MCK-WAL,23772801,nhdflowline_network.2502087,2/12/2001 21:00,1136527,McKenzie River,5,2.8998,0.00111062,0.0029,1078.0539,11.6301,0.16,0.2249,0.59,0,0.08,82.58,1.09,0,0.2,0.08,0.8288,1284.2403,20.5575,34.1536,2.9424,7.0102,1.583,2.8998,2730.9312,0,11.89489937,318.428894
T02,23099678,nhdflowline_network.2373753,2/6/2001 21:00,1528343,Yakima River,7,53.6166,0.00040288,0.0022,904.5658,17.873,1.42,0.355,0.7,0.21,0.07,32.51,0.05,9.84,0.93,0.58,1.3932,503.1249,18.2332,33.1702,0.9292,5.6788,19.2646,53.6166,13461.462,0.0108,11.14989948,260.2550049
T03,23099844,nhdflowline_network.2373837,2/6/2001 21:00,1528343,Yakima River,7,0.3294,0.00084745,0.0028,1030.176,19.5435,1.45,0.3254,0.93,0.24,0.08,41.44,0.05,3.48,0.78,0.2,1.3432,674.3999,19.0051,35.0875,1.0067,5.1981,20.511,0.3294,8977.0689,0.0113,11.06999969,257.7569885
T05P,24422823,nhdflowline_network.2372298,2/6/2001 21:00,1522276,Little Naches River,4,1.2276,0.0055638,0,1311.284,4.9534,0.18,0.2785,0.05,0.02,0.05,78.14,0,0,0.73,0.04,0.4091,1028.1392,9.9812,51.3773,0.8758,9.8441,1.4189,1.2276,383.8644,0,11.59490013,1144.499023
T06,24422913,nhdflowline_network.2372340,2/6/2001 21:00,1515854,American River,3,11.9232,0.01734268,0,1463.5289,8.7143,0.19,0.2271,0.16,0.01,0.06,65.64,0.04,0,1.32,0.09,0.2634,1032.4096,6.0392,63.6134,1.1919,12.4812,0.6106,11.9232,206.2035,0,11.6548996,1110.344971
T07,947030105,nhdflowline_network.2373698,2/6/2001 21:00,1528343,Yakima River,7,8.6454,0.00171943,0.0025,879.9867,18.198,1.47,0.3616,0.7,0.21,0.06,30.94,0.05,11.42,0.89,0.57,1.4353,486.4767,17.8468,32.61,0.9191,5.6001,20.0267,8.6454,14144.7249,0.0113,11.61989975,1055.297974
T41,24425579,nhdflowline_network.2373526,2/6/2001 21:00,1523553,Naches River,6,10.44,0.00603894,0.0016,1314.7796,6.424,0.5,0.3026,0.86,0.03,0.06,70.8,0.01,0.25,0.96,0.14,0.7453,1028.5995,16.0442,41.3047,1.0333,6.5142,1.5408,10.44,2465.9001,4.00E-04,11.51489925,1079.244019
T42,24425579,nhdflowline_network.2373526,2/6/2001 21:00,1523553,Naches River,6,10.44,0.00603894,0.0016,1314.7796,6.424,0.5,0.3026,0.86,0.03,0.06,70.8,0.01,0.25,0.96,0.14,0.7453,1028.5995,16.0442,41.3047,1.0333,6.5142,1.5408,10.44,2465.9001,4.00E-04,11.64489937,1346.25
TAY-RES,1333490,nhdflowline_network.2041206,6/22/1999 21:00,188791,Taylor River,5,4.4595,0.02644614,0.0015,3313.7191,11.4205,0.21,0.2413,1.23,0.01,0.79,55.6,0.05,0,4.61,2.54,0.513,312.8911,14.1626,55.7678,0.6731,16.4067,0.1595,4.4595,662.6592,0,10.57489967,2062.281006
TAY-TAY,1333022,nhdflowline_network.2041182,6/22/1999 21:00,188791,Taylor River,4,5.0157,0.01421518,0,3328.9854,6.9308,0.22,0.2434,0.07,0,0.63,54.17,0.05,0,5.33,3.13,0.4238,314.132,14.0353,56.1889,0.5484,17.1891,0.1582,5.0157,331.3395,0,10.12489986,2106.576904
TRO-GAT,23732545,nhdflowline_network.2492379,2/27/2001 21:00,1151438,Trout Creek,5,0.9873,0.00883527,0.0024,1002.33,1.8013,0.33,0.3113,0.04,0.01,0,12.47,0,4.26,0.04,0.08,1.0397,339.0483,35.6561,17.5443,1.3814,1.6471,1.4494,0.9873,1668.3183,0,10.46990013,2232.710693
WHY-SIS,23700305,nhdflowline_network.2487318,2/27/2001 21:00,1150253,Squaw Creek,3,16.6761,0.01136638,0,1709.2918,0.2515,0.46,0.1801,0.11,0,0.02,33.21,0.01,0,0.25,0.04,0.9641,1168.1298,11.4857,60.7377,1.2673,21.3905,2.9137,16.6761,166.2804,0,12.39489937,1111.135986
WIL-COR,23762877,nhdflowline_network.2500643,2/12/2001 21:00,1158060,Willamette River,6,1.1196,0.00030636,0.0037,725.3622,15.7993,1.62,0.2489,1.27,0.42,0.29,68.37,2.77,2.32,0.74,0.73,1.4965,1063.431,29.1975,24.9091,2.5383,4.7889,33.0092,1.1196,11376.3474,0.0013,6.814899921,907.4619751
WIL-GOS,23759228,nhdflowline_network.2499972,2/12/2001 21:00,1119059,Coast Fork Willamette River,5,3.7035,0.00134279,0.0024,598.4529,16.9575,0.83,0.2567,0.64,0.13,0.16,72.26,3.33,0.09,0.61,0.46,1.763,833.4482,36.0269,19.6093,2.5073,3.0321,16.8743,3.7035,1664.3106,6.00E-04,5.774999619,1376.200928
WIL-HAR,23763337,nhdflowline_network.2500854,2/12/2001 21:00,1158060,Willamette River,6,3.8313,0.00086906,0.0026,880.7866,12.7319,1,0.2384,1.18,0.23,0.14,79.23,1.46,0.29,0.46,0.3,1.3216,1110.5303,27.0701,27.6253,2.6984,5.2679,22.0074,3.8313,8825.7501,6.00E-04,9.564899445,264.5979919
WIL-JAS,23751778,nhdflowline_network.2499916,2/12/2001 21:00,1146168,Middle Fork Willamette River,5,5.5674,0.0089855,0.0014,1006.0473,5.4686,0.3,0.2329,1.87,0.02,0.06,86.97,0.68,0,0.2,0.08,1.2058,1083.76,25.7883,28.3289,2.7707,5.2705,3.1871,5.5674,3494.8566,9.00E-04,11.97489929,203.8710022
WIL-POR,23815040,nhdflowline_network.2508460,2/12/2001 21:00,1158060,Willamette River,7,125.1927,1.00E-05,0.0087,555.4519,17.0089,3.27,0.2641,0.96,0.81,0.52,55.24,4.06,7.62,1.02,0.7,2.0362,1199.9716,28.6796,23.1176,2.4216,4.7375,83.2088,125.1927,28921.6503,0.0021,9.564899445,264.5979919
