wrol_sample_id,whondrs_id,Site,Watershed,Sampling_Event,sample_date,DOC,DOC_SD,season,season_n,season_tb,wrol_mo_end_member
68,1004,EAS-BRA,Gunnison,02-Fall 2019,19-Oct-19,0.488,0.182,Fall,4,Fall,seasonal
69,1003,EAS-PUM,Gunnison,02-Fall 2019,19-Oct-19,0.721,0.067,Fall,4,Fall,seasonal
70,1001,EAS-ROC,Gunnison,02-Fall 2019,19-Oct-19,0.974,0.224,Fall,4,Fall,seasonal
71,1002,EAS-RUS,Gunnison,02-Fall 2019,19-Oct-19,0.578,0.059,Fall,4,Fall,seasonal
72,213,GUN-GRJ,Gunnison,02-Fall 2019,20-Oct-19,4,0.198,Fall,4,Fall,seasonal
75,209,GUN-TUN,Gunnison,02-Fall 2019,20-Oct-19,3.496,0.905,Fall,4,Fall,seasonal
47,183,CT-EBRA,Connecticut,02-Fall 2019,4-Nov-19,3.947,0.325,Fall,4,Fall,seasonal
49,174,CT-MOOS,Connecticut,02-Fall 2019,4-Nov-19,6.098,0.601,Fall,4,Fall,seasonal
51,175,CT-PASS,Connecticut,02-Fall 2019,4-Nov-19,3.972,0.361,Fall,4,Fall,seasonal
54,184,CT-SLPR,Connecticut,02-Fall 2019,4-Nov-19,2.592,0.021,Fall,4,Fall,seasonal
53,177,CT-POPE,Connecticut,02-Fall 2019,5-Nov-19,1.797,0.101,Fall,4,Fall,seasonal
58,176,CT-W9,Connecticut,02-Fall 2019,5-Nov-19,1.574,0.467,Fall,4,Fall,seasonal
48,179,CT-FARM,Connecticut,02-Fall 2019,7-Nov-19,3.632,0.304,Fall,4,Fall,seasonal
55,180,CT-STIL,Connecticut,02-Fall 2019,7-Nov-19,3.987,0.184,Fall,4,Fall,seasonal
56,178,CT-THOM,Connecticut,02-Fall 2019,7-Nov-19,4.163,0.629,Fall,4,Fall,monthly
57,181,CT-UNIO,Connecticut,02-Fall 2019,7-Nov-19,4.075,0.311,Fall,4,Fall,seasonal
46,186,CT-BUNN,Connecticut,02-Fall 2019,8-Nov-19,3.047,0.283,Fall,4,Fall,seasonal
50,182,CT-NEPA,Connecticut,02-Fall 2019,8-Nov-19,3.753,0.474,Fall,4,Fall,seasonal
52,185,CT-PHEL,Connecticut,02-Fall 2019,8-Nov-19,5.484,0.198,Fall,4,Fall,seasonal
136,37,DES-MOO,Deschutes,99-Monthly,10-Nov-19,0.84,0.181,Fall,4,Fall,monthly
149,36,WIL-POR,Willamette,99-Monthly,10-Nov-19,1.371,0.021,Fall,4,Fall,monthly
59,43,BRO-LAP,Deschutes,02-Fall 2019,20-Nov-19,0.272,0.04,Fall,4,Fall,seasonal
60,42,CUL-LAP,Deschutes,02-Fall 2019,20-Nov-19,0.209,0.105,Fall,4,Fall,seasonal
62,41,DES-LAP,Deschutes,02-Fall 2019,20-Nov-19,0.356,0.162,#N/A,#N/A,Fall,seasonal
65,44,DES-WIC,Deschutes,02-Fall 2019,20-Nov-19,0.913,0.267,Fall,4,Fall,seasonal
82,45,LDS-LAP,Deschutes,02-Fall 2019,20-Nov-19,1.174,0.057,Fall,4,Fall,seasonal
61,46,DES-BFA,Deschutes,02-Fall 2019,21-Nov-19,0.56,0.214,Fall,4,Fall,seasonal
63,48,DES-MAD,Deschutes,02-Fall 2019,21-Nov-19,0.663,0.12,Fall,4,Fall,seasonal
64,50,DES-MOO,Deschutes,02-Fall 2019,21-Nov-19,0.79,0.134,Fall,4,Fall,monthly
66,47,WHY-SIS,Deschutes,02-Fall 2019,21-Nov-19,0.453,0.195,#N/A,#N/A,Fall,seasonal
85,49,TRO-GAT,Deschutes,02-Fall 2019,21-Nov-19,2.345,0.445,Fall,4,Fall,seasonal
142,,GUN-GRJ,Gunnison,99-Monthly,24-Nov-19,3.641,0.375,Fall,11,Fall,monthly
132,,CT-THOM,Connecticut,99-Monthly,3-Dec-19,3.048,0.049,Winter,12,Winter,monthly
84,56,MCK-WAL,Willamette,02-Fall 2019,5-Dec-19,0.529,0.093,Winter,1,Fall,seasonal
87,57,WIL-GOS,Willamette,02-Fall 2019,5-Dec-19,1.724,0.049,Winter,1,Fall,seasonal
88,59,WIL-HAR,Willamette,02-Fall 2019,5-Dec-19,0.989,0.052,Winter,1,Fall,seasonal
89,58,WIL-JAS,Willamette,02-Fall 2019,5-Dec-19,1.238,0.096,Winter,1,Fall,seasonal
86,60,WIL-COR,Willamette,02-Fall 2019,6-Dec-19,1.162,0.107,Winter,1,Fall,seasonal
90,61,WIL-POR,Willamette,02-Fall 2019,8-Dec-19,1.292,0.076,Winter,1,Fall,monthly
78,55,BLU-BLU,Willamette,02-Fall 2019,10-Dec-19,0.939,0.432,Winter,1,Fall,seasonal
79,53,BLU-TID,Willamette,02-Fall 2019,10-Dec-19,1.139,0.098,Winter,1,Fall,seasonal
80,51,HJA-WS1,Willamette,02-Fall 2019,10-Dec-19,1.417,0.257,Winter,1,Fall,seasonal
81,52,HJA-WS2,Willamette,02-Fall 2019,10-Dec-19,2.127,0.098,Winter,1,Fall,seasonal
83,54,LOO-BLU,Willamette,02-Fall 2019,10-Dec-19,0.805,0.06,Winter,1,Fall,seasonal
137,62,DES-MOO,Deschutes,99-Monthly,27-Dec-19,0.573,0.045,Winter,1,Fall,monthly
150,63,WIL-POR,Willamette,99-Monthly,27-Dec-19,,,Winter,1,Fall,monthly
143,,GUN-GRJ,Gunnison,99-Monthly,8-Jan-20,3.003,0.969,Winter,1,Winter,monthly
128,64,WIL-GOS,Willamette,03-Winter 2020,22-Jan-20,,,Winter,1,Winter,seasonal
130,65,WIL-JAS,Willamette,03-Winter 2020,22-Jan-20,,,Winter,1,Winter,seasonal
120,70,BLU-BLU,Willamette,03-Winter 2020,23-Jan-20,1.226,0.172,Winter,1,Winter,seasonal
121,68,BLU-TID,Willamette,03-Winter 2020,23-Jan-20,1.368,0.065,Winter,1,Winter,seasonal
122,67,HJA-WS1,Willamette,03-Winter 2020,23-Jan-20,1.327,,Winter,1,Winter,seasonal
123,66,HJA-WS2,Willamette,03-Winter 2020,23-Jan-20,1.347,0.065,Winter,1,Winter,seasonal
124,69,LOO-BLU,Willamette,03-Winter 2020,23-Jan-20,1.392,0.049,Winter,1,Winter,seasonal
125,71,MCK-WAL,Willamette,03-Winter 2020,23-Jan-20,1.007,0.53,Winter,1,Winter,seasonal
127,72,WIL-COR,Willamette,03-Winter 2020,24-Jan-20,2.239,0.156,Winter,1,Winter,seasonal
129,23,WIL-HAR,Willamette,03-Winter 2020,24-Jan-20,1.527,0.076,Winter,1,Winter,seasonal
133,,CT-THOM,Connecticut,99-Monthly,24-Jan-20,2.708,0.028,Winter,1,Winter,monthly
131,73,WIL-POR,Willamette,03-Winter 2020,26-Jan-20,1.885,0.179,Winter,1,Winter,monthly
144,,GUN-GRJ,Gunnison,99-Monthly,29-Jan-20,3.216,0.156,Winter,1,Winter,monthly
108,81,DES-MAD,Deschutes,03-Winter 2020,4-Feb-20,0.407,0.374,Winter,1,Winter,seasonal
110,77,DES-WIC,Deschutes,03-Winter 2020,4-Feb-20,0.435,0.142,Winter,1,Winter,seasonal
111,78,LDS-LAP,Deschutes,03-Winter 2020,4-Feb-20,3.812,0.156,Winter,1,Winter,seasonal
112,80,WHY-SIS,Deschutes,03-Winter 2020,4-Feb-20,0.647,1.008,Winter,1,Winter,seasonal
126,82,TRO-GAT,Deschutes,03-Winter 2020,4-Feb-20,2.834,0.106,Winter,1,Winter,seasonal
104,76,BRO-LAP,Deschutes,03-Winter 2020,5-Feb-20,0.465,0.052,Winter,1,Winter,seasonal
105,75,CUL-LAP,Deschutes,03-Winter 2020,5-Feb-20,0.068,0.276,Winter,1,Winter,seasonal
106,79,DES-BFA,Deschutes,03-Winter 2020,5-Feb-20,1.318,0.162,Winter,1,Winter,seasonal
107,74,DES-LAP,Deschutes,03-Winter 2020,5-Feb-20,0.329,0.226,Winter,1,Winter,seasonal
109,83,DES-MOO,Deschutes,03-Winter 2020,8-Feb-20,1.07,,Winter,1,Winter,monthly
113,189,EAS-ALM,Gunnison,03-Winter 2020,14-Feb-20,0.722,0.273,Winter,1,Winter,seasonal
117,195,GUN-GUN,Gunnison,03-Winter 2020,14-Feb-20,1.089,0.182,Winter,1,Winter,seasonal
118,188,GUN-R32,Gunnison,03-Winter 2020,14-Feb-20,1.278,0.099,Winter,1,Winter,seasonal
114,192,EAS-PUM,Gunnison,03-Winter 2020,15-Feb-20,0.471,0.003,Winter,1,Winter,seasonal
119,194,TAY-RES,Gunnison,03-Winter 2020,15-Feb-20,1.759,0.108,Winter,1,Winter,seasonal
115,193,EAS-ROC,Gunnison,03-Winter 2020,20-Feb-20,0.973,0.079,Winter,1,Winter,seasonal
116,190,EAS-RUS,Gunnison,03-Winter 2020,20-Feb-20,0.357,0.101,Winter,1,Winter,seasonal
134,,CT-THOM,Connecticut,99-Monthly,2-Mar-20,2.663,0.064,Winter,3,Winter,monthly
138,85,DES-MOO,Deschutes,99-Monthly,8-Mar-20,0.573,0.192,Spring,2,Winter,monthly
151,86,WIL-POR,Willamette,99-Monthly,8-Mar-20,1.091,0.128,Spring,2,Winter,monthly
145,,GUN-GRJ,Gunnison,99-Monthly,10-Mar-20,3.366,0.014,Winter,3,Winter,monthly
94,126,CT-MOOS,Connecticut,03-Winter 2020,12-Mar-20,5.499,0.262,Spring,2,Winter,seasonal
99,121,CT-SLPR,Connecticut,03-Winter 2020,12-Mar-20,1.787,0.025,Spring,2,Winter,seasonal
92,124,CT-EBRA,Connecticut,03-Winter 2020,13-Mar-20,3.145,0.368,Spring,2,Winter,seasonal
96,125,CT-PASS,Connecticut,03-Winter 2020,13-Mar-20,3.143,0.156,Spring,2,Winter,seasonal
98,122,CT-POPE,Connecticut,03-Winter 2020,13-Mar-20,1.489,0.054,Spring,2,Winter,seasonal
103,123,CT-W9,Connecticut,03-Winter 2020,13-Mar-20,1.728,0.019,Spring,2,Winter,seasonal
93,,CT-FARM,Connecticut,03-Winter 2020,21-Mar-20,,,Winter,3,Winter,seasonal
95,,CT-NEPA,Connecticut,03-Winter 2020,21-Mar-20,,,Winter,3,Winter,seasonal
100,130,CT-STIL,Connecticut,03-Winter 2020,21-Mar-20,,,Spring,2,Winter,seasonal
101,128,CT-THOM,Connecticut,03-Winter 2020,21-Mar-20,,,Spring,2,Winter,monthly
91,134,CT-BUNN,Connecticut,03-Winter 2020,22-Mar-20,,,Spring,2,Winter,seasonal
97,,CT-PHEL,Connecticut,03-Winter 2020,22-Mar-20,,,Winter,3,Winter,seasonal
102,,CT-UNIO,Connecticut,03-Winter 2020,22-Mar-20,,,Winter,3,Winter,seasonal
139,104,DES-MOO,Deschutes,99-Monthly,3-Apr-20,0.977,0.04,Spring,2,Spring,monthly
152,103,WIL-POR,Willamette,99-Monthly,3-Apr-20,2.273,0.478,Spring,2,Spring,monthly
170,113,BLU-BLU,Willamette,04-Spring 2020,21-Apr-20,0.908,0.235,Spring,2,Spring,seasonal
171,115,BLU-TID,Willamette,04-Spring 2020,21-Apr-20,0.761,0.054,Spring,2,Spring,seasonal
172,106,HJA-WS1,Willamette,04-Spring 2020,21-Apr-20,0.9,0.032,Spring,2,Spring,seasonal
173,109,HJA-WS2,Willamette,04-Spring 2020,21-Apr-20,0.909,0.377,Spring,2,Spring,seasonal
174,110,LOO-BLU,Willamette,04-Spring 2020,21-Apr-20,0.66,0.023,Spring,2,Spring,seasonal
175,107,MCK-WAL,Willamette,04-Spring 2020,23-Apr-20,0.956,0.059,Spring,2,Spring,seasonal
176,114,WIL-COR,Willamette,04-Spring 2020,23-Apr-20,1.466,0.353,Spring,2,Spring,seasonal
177,112,WIL-GOS,Willamette,04-Spring 2020,23-Apr-20,2.123723777,0.239002092,Spring,2,Spring,seasonal
178,111,WIL-HAR,Willamette,04-Spring 2020,23-Apr-20,1.243,0.172,Spring,2,Spring,seasonal
179,105,WIL-JAS,Willamette,04-Spring 2020,23-Apr-20,1.912490784,0.033234019,Spring,2,Spring,seasonal
146,,GUN-GRJ,Gunnison,99-Monthly,24-Apr-20,3.898,0.707,Spring,4,Spring,monthly
180,108,WIL-POR,Willamette,04-Spring 2020,27-Apr-20,1.387,0.076,Spring,2,Spring,monthly
181,118,BRO-LAP,Deschutes,04-Spring 2020,7-May-20,0.331,0.065,Spring,2,Spring,seasonal
182,117,CUL-LAP,Deschutes,04-Spring 2020,7-May-20,0.305,0.138,Spring,2,Spring,seasonal
183,145,DES-BFA,Deschutes,04-Spring 2020,7-May-20,1.404,0.086,Spring,2,Spring,seasonal
184,116,DES-LAP,Deschutes,04-Spring 2020,7-May-20,0.545,,Spring,2,Spring,seasonal
185,147,DES-MAD,Deschutes,04-Spring 2020,7-May-20,0.752,0.008,Spring,2,Spring,seasonal
187,119,DES-WIC,Deschutes,04-Spring 2020,7-May-20,1.024,0.241,Spring,2,Spring,seasonal
188,120,LDS-LAP,Deschutes,04-Spring 2020,7-May-20,3.928,0.311,Spring,2,Spring,seasonal
189,146,WHY-SIS,Deschutes,04-Spring 2020,7-May-20,0.893,0.055,Spring,2,Spring,seasonal
190,148,TRO-GAT,Deschutes,04-Spring 2020,7-May-20,3.368,0.403,Spring,2,Spring,seasonal
186,149,DES-MOO,Deschutes,04-Spring 2020,13-May-20,0.978,0.032,Spring,2,Spring,monthly
154,138,CT-EBRA,Connecticut,04-Spring 2020,5-Jun-20,2.437,0.042,Summer,3,Summer,seasonal
155,137,CT-MOOS,Connecticut,04-Spring 2020,5-Jun-20,4.504,0.325,Summer,3,Summer,seasonal
156,135,CT-PASS,Connecticut,04-Spring 2020,5-Jun-20,2.455,0.354,Summer,3,Summer,seasonal
157,139,CT-POPE,Connecticut,04-Spring 2020,5-Jun-20,1.217,0.105,Summer,3,Summer,seasonal
158,136,CT-SLPR,Connecticut,04-Spring 2020,5-Jun-20,1.604,0.078,Summer,3,Summer,seasonal
160,99,CT-BUNN,Connecticut,04-Spring 2020,5-Jun-20,2.093,0.248,Summer,3,Summer,seasonal
163,98,CT-PHEL,Connecticut,04-Spring 2020,5-Jun-20,4.302,0.488,Summer,3,Summer,seasonal
166,97,CT-UNIO,Connecticut,04-Spring 2020,5-Jun-20,3.001,0.177,Summer,3,Summer,seasonal
159,140,CT-W9,Connecticut,04-Spring 2020,6-Jun-20,1.192,0.232,Summer,3,Summer,seasonal
161,101,CT-FARM,Connecticut,04-Spring 2020,6-Jun-20,2.813,0.707,Summer,3,Summer,seasonal
162,,CT-NEPA,Connecticut,04-Spring 2020,6-Jun-20,2.951,0.17,Summer,6,Summer,monthly
164,102,CT-STIL,Connecticut,04-Spring 2020,6-Jun-20,3.538,0.431,Summer,3,Summer,seasonal
165,100,CT-THOM,Connecticut,04-Spring 2020,6-Jun-20,2.72,0.544,Summer,3,Summer,monthly
140,151,DES-MOO,Deschutes,99-Monthly,21-Jun-20,0.9,0.023,Summer,3,Summer,monthly
228,150,WIL-POR,Willamette,99-Monthly,21-Jun-20,1.359,0.129,Summer,3,Summer,monthly
147,,GUN-GRJ,Gunnison,99-Monthly,23-Jun-20,3.998,0.177,Summer,6,Summer,monthly
224,152,DES-MOO,Deschutes,99-Monthly,30-Jul-20,0.901,0.038,Summer,3,Summer,monthly
229,153,WIL-POR,Willamette,99-Monthly,30-Jul-20,1.28,0.035,Summer,3,Summer,monthly
169,,GUN-GRJ,Gunnison,99-Monthly,5-Aug-20,4.007,0.021,Summer,8,Summer,monthly
167,,CT-THOM,Connecticut,99-Monthly,30-Aug-20,2.992,0.127,Summer,8,Summer,monthly
225,154,DES-MOO,Deschutes,99-Monthly,3-Sep-20,0.764,0.002,Fall,4,Summer,monthly
230,155,WIL-POR,Willamette,99-Monthly,3-Sep-20,1.039,0.26,Fall,4,Summer,monthly
234,,GUN-GRJ,Gunnison,99-Monthly,23-Sep-20,,,Fall,9,Fall,monthly
168,,CT-THOM,Connecticut,99-Monthly,1-Oct-20,2.708,0.573,Fall,10,Fall,monthly
226,84,DES-MOO,Deschutes,99-Monthly,2-Oct-20,,,Fall,10,Fall,seasonal
